coordenadas,locación
"19.476396427168083, -99.04633425890201",Teatro José Vasconcelos
"19.47446595918309, -99.04368228623203",DUACyD
"19.474965205436593, -99.04218644726495",Gimnasio de Parquet
"19.473643812212256, -99.04651282145399",Centro Tecnológico Aragón
"19.473913649557876, -99.04558637044778",Jefaturas de Ingenierías
"19.475557490862624, -99.04589351131486",Edificio de Gobierno
"19.477113741945363, -99.04455807471379",Entrada Av. Universidad
"19.476321589902124, -99.04686134401935",Entrada Bosque de Africa
